Comment,Liked
کیفیت ساخت هم عالیه دوربین در نور مناسب عکس های بی نظیری میگیره,1
ظرفیت باتری کمتر شده حافظه هم کم هست,0
واقعا راضی هستم خریدش رو پیشنهاد میکنم,1
از نظر کیفیتی فوق العاده است واقعا بهترین گوشی ای هستش که یه نفر میتونه داشته باشه,1
این هم کاملا استاندارد و خوب بود . نه کم و کسری و نه اقلام جانبی تقلبی .,1
واقعا گوشی روون و خوشدست هست,1
یکی از شک های من برای خرید این گوشی میزان مصرف باتریش بود که ناامید کننده هست,0
صفحه نمایش گوشی خیلی خوبه و رنگ ها رو شفاف و طبیعی نشون میده,1
دوربین این گوشی عالیه در حد دوربین های حرفه ای,1
در مورد کیفیت ساخت هم چون از شیشه استفاده شده حس خوبی بهت دست میده ، سایز و اندازه صفحه هم به نظرم خوبه,1
با توجه به سایز گوشی اگه دست کوچیکی دارید نمیتونید تک دست باهاش کار کنید,0
خریدش رو بهتون پیشنهاد میکنم چون پشیمون نخواهید شد,1
از لحظه لحظه کار کردن با این گوشی جذاب و فوق العاده لذت خواهید برد.,1
گوشی نسبتاً خوبیه ، اگر پولش رو دارید بخرید .,1
در مجموع گوشی ای که همه چیزش تو ایران تحریم هست و این قیمت بالا رو داره فکر نمی کنم ارزش خرید داشته باشه,0
بنده این گوشی رو خرید کردم. و واقعا راضی هستم خریدش رو پیشنهاد میکنم,1
گوشی از نظر سخت افزار و نرم افزار در کلاس بالایی هست,1
بدون پیشرفت نسبت به نسخه قبلی هم از نظر طراحی و هم سخت افزاری باعث میشه وقتی دستتون میگیرید هیچ حس تازه ای نداشته باشید,0
واقعا گوشی خوبی هست ارزش خرید داره مثل همیشه و مثل هر سال گوشی خاص و تکی زد اپل,1
تو ایران کارایی نداره و محدودیت های زیادی داره.,0
بعد از چندین سال باز ساپورت میشه و همواره سریع و بدون هنگ عمل میکنه,1
باتری غیرقابل تعویض عدم دسترسی به بلوتوث عدم پشتیبانی نرم افزاری,0
نوآوری و ایده جدیدی نداره,0
بدون هیچ گونه تعصبی میگم واقعا گوشی فوق العاده ای هست.,1
در مورد دوربین هم بگم فوق العادست. در عکس های سلفی تمام جزییات صورتتون رو میتونید به وضوح مشاهده کنید.,1
با توجه به قیمتش اصلا نمی ارزه و فقط دارین پولتون رو دور میریزین,0
واقعا اپل در زمینه طراحی گوشی از رقبا داره عقب می‌افته,0
نرم افزار های ایرانی رو هم که تحریم کردند، کاربر ایرانی دیگه چرا باید برای این گوشی هزینه کنه,0
ای کاش قیمتش یکم منطقی تر بود خیلی گرون هست,0
بعد از دو ماه استفاده میتونم بگم واقعا عالیه,1
اپل تو صفحه نمایش از تکنولوژی جدید استفاده کرده صفحه نمایش های بسیار باکیفیتی دارن,1
محدودیت، سختی استفاده و گران بودن بدون دلیل,0
کیفیت ساخت گوشی بسیار بالا هست و وزن بالای گوشی حس پریمیوم بودن رو به شما منتقل میکنه,1
با توجه به تغییرات اندک بنظرم گزینه های بهتری هم وجود داره با قیمت مناسب تر.,0
سرعت امنیت کیفیت همه چی رو در خودش جا داده و تا الان بی نظیر بوده و هست,1
واقعا گوشی لوکس و شیکیه و هیچ وقت قدیمی نمیشه,1
گوشی باکیفیت و خوش ساختی هست,1
با سرعت عالی و دوربین با کیفیت,1
کسی که این گوشی رو میخره تا سالها میتونه از کارکرد سریعش مطمئن باشه,1
متاسفانه روشن نمیشه! میخوام مرجوعش کنم؛ کلی هیجان داشتم ولی همش بیفایده بود,0
باتری ضعیف نسبت به بقیه پرچم دارا,0
باید بگم واقعا عالیه و ارزش خرید داره,1
نوآوری چشمگیری نداشته است و ارزش خرید ندارد,0
یک سری تغییرات در دوربین و ایجاد سنسور لیزری و پردازنده مخصوص برای دوربین یک تحول شگرف صورت گرفته که باعث میشه یک گوشی و دوربین حرفه ای قدرتمند در دستتان داشته باشید,1
نوآوری های این نسخه از آیفون کم است و از لحاظ ظاهری واقعا پیشرفت کمی داشته,0
صرفا جهت پول به جیب زدن ساخته شده و حرفی برای گفتن نداره,0
بعد از یه مدت افت میکنه و هنگ میکنه,0
قیمتش واقعا نجومیه و ارزش ندارد,0
کیفیت تاچ، دوربین و سخت افزار بی نظیره,1
این گوشی واقعا یک غول همه فن حریفه,1
دیگه مثل قدیم پیشرفتش چشمگیر نیست,0
افت سرعت داره و هنگ میکنه,0
وقتی گوشیت تو کارکرد روزمره لنگت بزاره هیچ رقمه ارزش خرید نداره,0
یه گوشی خاص و مدرن که هیچوقت قدیمی نمیشه,1
دوستانی که دنبال دوربین گوشی هستن این گوشی واسه عکس برداری بی نقص هست,1
دوستانی که اهل بازی هستن این گوشی هم از لحاظ پردازش هم از لحاظ کیفیت تصویر چیزی کم نداره,1
خریدم و بسیار راضی هستم ، فوق العاده راحت و بی دردسر هست.,1
فوق العاده ، شیک و قابل اعتماد,1
گوشی خوبیه ، من دارم واقعا راضیم ، روزی چندبار ازدستم‌ میفته هیچیش نشده ، نسبت به قیمتش می ارزه,1
با این قیمت اصلا مناسب نیست بیش از حد گران,0
از تراشه بسیار قدرتمند سود میبره,1
ارائه این گوشی با طراحی چند سال قبل این گوشی اصلا ارزش خرید نداره,0
امروز به دستم رسید. بسیار عالیه کیفیت دوربین. ,1
چه به لحاظ سخت افزاری و نرم افزاری و چه به لحاظ شکیل بودن و قابلیت ها بی نظیره,1
از لحاظ سیستم عامل فوق العاده است و اصلا هنگ نداره ضمنا بازی های سنگین رو بدون داغ شدن اجرا میکنه,1
تکراری بودن ظاهر نداشتن تکنولوژی فول ویژن,0
نقطه ضعف بیرون زدگی دوربین از بدنه گوشی هست که درصورت نداشتن قاب درست اسیب میبینه,0
رزولوشن پایین صفحه امکان اتصال رم وجود نداره,0
کاهش حجم باطری نسبت به نسخه قبل با وجود اینکه برابر با نسخه قبل عمل میکند,0
سرعت بی حد و مرز این گوشی که با باز کردن برنامه همچنان بدون کاهش سرعت کار میکرد,1
طراحی زیبا با استفاده از فلز و شیشه,1
نقطه قوت کیفیت بالای دوربین عکاسی هست که واقعا عالی هست حالت پرتره در دوربین که عالیه,1
نقطه قوت اجرای تمامی بازی های سنگین در نهایت سرعت داغ نکردن گوشی در مدت طولانی حتی با استفاده سنگین,1
ظاهر تکراری بد و خسته کننده ای داره زشت هست,0
از نظر زیبایی، چه دیوایس و چه سیستم عامل، اپل همیشه پیشتاز بوده و هست.,1
پرندازه با نرم افزار گوشی کاملا تطبیق شده است و هماهنگی بسیار خوبی دارد,1
ظرفیت باطری این گوشی نسبت به نسل قبل کمی کمتر است بازدهی ندارد,0
این گوشی بالاخره از شارژ بیسیم و سریع پشتیبانی میکند ولی شارژهای این کار را باید جداگانه تهیه کرد که به نظر من به صرفه است.,1
هیچ گونه کندی در برنامه ها و تست هایی که از او گرفته شده است وجود نداشته بسیار قویتر از نسل قبل است,1
با توجه به تحریم ها و عدم سازگاری بسیاری از قابلیتها با سیستمهای ایران پول الکی خرج کردن,0
شما میتونید با ایفون ساعتها کار کنید بدون هیچ افت سرعت یا هنگ کردن، که این قضیه تو سایر گوشی ها وجود نداره. چون برای ایفون هنگ کردن معنی نداره.,1
از همه نظر عالیه. حتما بخرید شک نکنید,1
صدای اسپیکر ها عالی هستن. بلندی مناسب با کیفیت عالی.,1
حذف جک هدفون بعضی وقتا اذیت میکنه.,0
دوربین سلفی و اصلی گوشی هم خیلی خوبه مخصوصا روی حالت پرتره.,1
شارژدهی عالی است. باتری این گوشی واقعا حرف نداره.,1
کیفیت ساخت و صفحه نمایش مثل همیشه عالیه و چیزی کم نداره,1
از بس هنگ کرد اعصابم رو بهم ریخت,0
حاشیه آنقدر دارن که طراحی قدیمی حساب میشن و نوآوری تو طراحی ندارن,0
قیمتش که این قدر رفته بالا که قدرت خرید رو از آدم میگیره تعصب روی برند خاصی نداشته باشید آدم باید ببینه چی براش خوبه و تمام شرایط رو در نظر بگیره و نه فقط روی یک برند خاص متمرکز شه,0
اصلا خوب نیست با این قیمت به درد نمیخوره,0
شک نکنید بهترین گوشیه جهانه بهترین رابط کاربری با امنیت بالا,1
به راحتی همه چیز رو اجرا میکنه با نور صفحه زیاد ساپورت میکنه,1
این گوشی فوق العاده است بسیار عالیه,1
ظاهری زیبا و شکیل خوشدست ترین گوشی نسبت به رقبا,1
بسیار خوشدست و عالی دوربینش فوق العاده هست,1
باتریشم من راضیم اگر میخواید یه گوشی فوق العاده رو تجربه کنید حتما بخریدش شک نکنید,1
این گوشی واقعا عالیه و اصلا نیاز به تعریف و تمجید نداره,1
حافظه کمی دارد و مقدار آن مناسب و کافی نیست و محدود است.,0
تکامل یافته دو نسل قبل از نظر ظاهر شارژدهی قابل قبول,1
کیفیت به درد نمیخوره و اگه باهاش اسلوموشن درست کنین اون قدر ها هم جالب نمیشه,0
ولی قطعات دیگرش تعریفی نداره و در دراز مدت متوجه کیفیت پایینش میشین,0
سخت افزار با نرم افزار بالاترین سطح هماهنگی و همکاری رو داره و این به منزله راندمان بالای یک سیستم هست,1
با چه توجیهی باید این همه پول برای این دستگاه خرج کنیم گرونه و به صرفه نیست,0
خصومت علنی با ایرانی ها و حذف اپلیکیشن های ایرانی از اپ استور محدودیت های فراوان,0
حافظه جانبی پشتیبانی نمیکنه و حافظه اصلی کم هست. نوآوری ندارد.,0
این گوشی رو خریداری نکنید تا آپدیت های جدید بیاد و باگ های نرم افزاری برطرف بشه .,0
طبیعی تر بودن رنگ سفید در صفحه نمایش نسبت به دیگر گوشی ها نظیر سامسونگ نقطه قوت آن است.,1
سرعت بالا و سیستم عامل قدرتمند افکتیو شدن دوربین ها اپتیکال بودن لنز ها بهبود کیفیت صدای استریو,1
وزن این گوشی بالا است باطری ضعیفه,0
خدایی کار کردن روزمره با اپل خیلی سخته داره کیفیت ساخت بسیار بالا و طراحی فوق العاده ای داره اما آنقدر ظاهر بین نباشیم ,0
واقعا دور از انصافه که شرکت اپل بخواد به خاطر چند تا قابلیت توی گوشی هاش گذاشته یا به خاطر ظاهرش اینقدر قیمت گوشی هاش رو بالا ببره,0
دوربین بسیار خوب عکس های با پیکسل های بالا و تصاویر با رنگ های طبیعی است.,1
پردازنده واقعا سرعت گوشی رو بالا برده و حافظه بیشتر هم شده,1
جنس بدنه از شیشه مقاوم است در مقابل نفوذ گرد و غبار و آب جلوگیری می کند نه اینکه درون استخر از آن استفاده کنیم اگر ناگهانی درون آب افتاد اتفاقی نمی افتد .,1
به ظاهر گوشی خوبیه ولی اینکه رادیو نداره اصلا نخرید,0
فقط کلاس داره همین با قیمت بالا,0
زیبا بودن شیشه ای بودن و براق بودن گوشی دو دوربینی بودن توانایی بالای گوشی نقاط قوت هستند,1
ضعیف بودن باتری ایرادی هست که داره و ایراد بزرگی محسوب میشه,0
محدودیت داره چرا باید خودمون رو زجر بدیم تا کار کنیم باهاش که زمانگیر باشه,0
لنز دوربین صدا میده میتونید این صدارو با ضربه به کنار دروبین بشنوید شاید تو محیط شلوغ به چشم نیاد ولی اگه ساکت باشه محیط خیلی تو ذوق میزنه,0
فلاش دوربین تو سرما نمیزد خیلی افت کیفیت داشته به شدت دیگه اصلا فقط کلاسه,0
قدرت بالای پردازشگر دوربین جلو و عقب عالی طراحی بسیار زیبا,1
این گوشی در برابر آب مقاوم نیست هیچ مقاومتی در برابر آب نداره,0
واقعا آشغاله بدردنخور ترین گوشی دنیا . فقط اسم داره,0
